,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
186,黄浦,97701,五岭小区,中区/7层,340,1室1厅,1988,打浦桥,/ershoufang/sh4762373.html,34.8
187,普陀,50121,宜川五村,高区/6层,185,1室1厅,1988,甘泉宜川,/ershoufang/sh4762325.html,36.91
188,闵行,43551,银都新村（1至7区）,低区/6层,285,2室1厅,1995,颛桥,/ershoufang/sh4761505.html,65.44
189,黄浦,76190,打浦路210弄,高区/5层,320,1室1厅,1987,打浦桥,/ershoufang/sh4761159.html,42.0
190,徐汇,57922,钦州花苑,低区/30层,450,2室1厅,1993,田林,/ershoufang/sh4761089.html,77.69
191,普陀,77047,绿洲城市花园,高区/14层,950,3室2厅,1998,长寿路,/ershoufang/sh4761074.html,123.3
192,浦东,60197,临沂六村,高区/6层,250,2室0厅,1991,南码头,/ershoufang/sh4760673.html,41.53
193,闸北,52439,场中路2601弄,低区/6层,215,1室1厅,2601,彭浦,/ershoufang/sh4760107.html,41.0
194,普陀,58359,真北一街坊,低区/6层,340,2室1厅,1989,真如,/ershoufang/sh4760052.html,58.26
195,徐汇,71460,宛南二村,低区/4层,320,2室0厅,1958,龙华,/ershoufang/sh4759661.html,44.78
196,浦东,50679,绿洲康城亲水湾（东区）,中区/14层,660,3室2厅,2010,御桥,/ershoufang/sh4759481.html,130.23
197,普陀,72160,中远两湾城,高区/30层,880,3室2厅,2003,中远两湾城,/ershoufang/sh4759427.html,121.95
198,长宁,59530,金钟小区,高区/6层,223,1室1厅,1995,北新泾,/ershoufang/sh4758877.html,37.46
199,闵行,57727,平阳新村四街坊,低区/6层,350,2室1厅,1998,古美,/ershoufang/sh4758855.html,60.63
200,普陀,56546,泰山一村,高区/6层,260,2室0厅,1982,甘泉宜川,/ershoufang/sh4758625.html,45.98
201,长宁,60922,里昂花园,低区/11层,980,3室2厅,1996,古北,/ershoufang/sh4758253.html,160.86
202,虹口,69281,密二小区,低区/6层,385,2室1厅,1980,曲阳,/ershoufang/sh4758138.html,55.57
203,徐汇,49787,爱邦大厦,中区/29层,480,2室2厅,1989,徐家汇,/ershoufang/sh4757009.html,96.41
204,浦东,52024,和憬家园,中区/12层,460,2室2厅,2009,川沙,/ershoufang/sh4756589.html,88.42
205,徐汇,83568,裕德大厦,低区/24层,799,2室2厅,1997,徐家汇,/ershoufang/sh4756503.html,95.61
206,浦东,70689,昌四小区,低区/6层,205,1室0厅,1994,世博,/ershoufang/sh4755982.html,29.0
207,闵行,61763,新梅莘苑,高区/32层,865,3室2厅,2005,莘庄,/ershoufang/sh4754979.html,140.05
208,杨浦,75927,上海大花园,低区/13层,845,2室2厅,2004,周家嘴路,/ershoufang/sh4754770.html,111.29
209,普陀,60891,太浜巷小区,中区/6层,265,2室0厅,1987,光新,/ershoufang/sh4754688.html,43.52
210,宝山,53832,通河一村,低区/6层,210,1室1厅,1993,张庙,/ershoufang/sh4754551.html,39.01
211,嘉定,31471,桃园新村（嘉定）,中区/6层,195,2室1厅,1984,嘉定老城,/ershoufang/sh4754248.html,61.96
212,杨浦,57917,控江路740弄,中区/5层,188,1室0厅,1978,控江路,/ershoufang/sh4753622.html,32.46
213,杨浦,59621,翔殷大楼,中区/14层,400,2室1厅,1989,中原,/ershoufang/sh4752308.html,67.09
214,徐汇,79994,永兆豪庭,低区/18层,1080,3室2厅,2008,漕河泾,/ershoufang/sh4751486.html,135.01
215,杨浦,59158,浣纱三村,高区/6层,415,2室1厅,1995,黄兴公园,/ershoufang/sh4751364.html,70.15
216,普陀,60096,石一小区,高区/7层,275,1室1厅,1990,光新,/ershoufang/sh4750708.html,45.76
217,杨浦,76951,鞍山四村第三小区,高区/5层,205,1室0厅,1988,鞍山,/ershoufang/sh4750662.html,26.64
218,黄浦,83333,北蒙三小区,高区/7层,355,1室1厅,1989,五里桥,/ershoufang/sh4750258.html,42.6
219,浦东,56137,凌云公寓,中区/18层,450,2室1厅,1998,三林,/ershoufang/sh4750136.html,80.16
220,黄浦,78815,达新大楼,低区/15层,599,2室1厅,1992,五里桥,/ershoufang/sh4749802.html,76.0
221,黄浦,96426,海华花园,高区/33层,858,2室1厅,1994,打浦桥,/ershoufang/sh4749727.html,88.98
222,长宁,68807,纺大小区,低区/6层,240,1室0厅,1981,新华路,/ershoufang/sh4749450.html,34.88
223,普陀,70257,金沙雅苑（四期）,高区/11层,780,2室2厅,2006,长征,/ershoufang/sh4749445.html,111.02
224,浦东,73145,生安花苑,高区/11层,1500,3室2厅,2001,源深,/ershoufang/sh4749302.html,205.07
225,嘉定,38721,新城金郡,低区/18层,350,2室2厅,2010,嘉定新城,/ershoufang/sh4748292.html,90.39
226,虹口,68057,华虹公寓,中区/9层,998,3室2厅,2001,曲阳,/ershoufang/sh4748090.html,146.64
227,杨浦,66410,凤城五村,高区/6层,345,2室1厅,1987,控江路,/ershoufang/sh4747156.html,51.95
